生命的,of Health
保護的,of Protection
吸收,of Absorption
生命的,of Life
防避的,of Warding
步哨的,of the Sentinel
守衛的,of Guarding
否定的,of Negation
刺穿的,of Piercing
重擊的,of Bashing
爆破的,of Puncturing
刺尖的,of Thorns
尖刺的,of Spikes
迅速的,of Readiness
輕快的,of Alacrity
敏捷的,of Swiftness
快速的,of Quickness
格擋的,of Blocking
偏向的,of Deflecting
學徒的,of the Apprentice
馬格斯的,of the Magus
霜的,of Frost
冰河的,of the Glacier
融解的,of Warmth
火焰的,of Flame
火的,of Fire
燃燒的,of Burning
衝擊的,of Shock
閃電的,of Lightning
雷電的,of Thunder
工匠的,of Craftsmanship
品質的,of Quality
殘廢的,of Maiming
屠殺的,of Slaying
凝血的,of Gore
屠殺的,of Carnage
殘殺的,of Slaughter
價值的,of Worth
測量的,of Measure
精靈的,of Excellence
表現的,of Performance
光明的,of Blight
毒素的,of Venom
瘟疫的,of Pestilence
敏捷的,of Dexterity
技能的,of Skill
準確的,of Accuracy
精密的,of Precision
完美的,of Perfection
平衡的,of Balance
穩定的,of Stability
重造的,of Regeneration
重生的,of Regrowth
惡毒的,of Vileness
貪婪的,of Greed
財富的,of Wealth
機會的,of Chance
幸運的,of Fortune
能源的,of Energy
思想的,of the Mind
才華的,of Brilliance
幻術的,of Sorcery
法術的,of Wizardry
熊的,of the Bear
光明的,of Light
光彩的,of Radiance
太陽的,of the Sun
豺狼的,of the Jackal
狐狸的,of the Fox
狼的,of the Wolf
虎的,of the Tiger
巨大的,of the Mammoth
太陽神的",of the Colossus
妖巫的,of the Leech
蝗蟲的,of the Locust
蝙蝠的,of the Bat
吸血鬼的,of the Vampire
反抗的,of Defiance
演進的,of Amelioration
醫治的,of Remedy
簡樸的,of Simplicity
安逸的,of Ease
力量的,of Strength
武力的,of Might
公牛的,of the Ox
巨人的,of the Giant
泰坦的,of the Titan
步伐的,of Pacing
憎恨的,of Haste
速度的,of Speed
永生,of Life Everlasting
和睦,of Amicae
降溫,of Coolness
易燃,of Inflammability
石綿,of Amianthus
猝滅,of Quenching
信仰,of Faith
阻抗,of Resistance
絕緣,of Insulation
鑽地,of Grounding
爆發,of the Dynamo
冷靜,of Stoicism
溫暖,of Warming
融解的,of Thawing
解凍,of Thawing
沙丘,of the Dunes
熱風,of the Scirocco
慾望,of Desire
剃刀,of Razors
刀劍,of Swords
惡意,of Malice
白熱,of Fervor
冰刺,of the Icicle
嚴冬,of Winter
寒冷,of Frigidity
熾炎,of Incineration
熱情,of Passion
暴風,of Storms
倦怠,of Ennui
屠殺,of Butchery
吸精,of Evisceration
憤怒,of Ire
怒氣,of Wrath
